passenger-carry, t = 20, b = 0, origin = 0, dest = 0, val = 20.032295493898964
passenger-carry, t = 20, b = 0, origin = 0, dest = 1, val = 170.98857258637298
passenger-carry, t = 20, b = 0, origin = 0, dest = 2, val = 19.68413681111586
passenger-carry, t = 20, b = 0, origin = 1, dest = 0, val = 15.132511039201383
passenger-carry, t = 20, b = 0, origin = 1, dest = 1, val = 133.6921561939693
passenger-carry, t = 20, b = 0, origin = 1, dest = 2, val = 14.874307895863588
passenger-carry, t = 20, b = 0, origin = 2, dest = 0, val = 15.884910951545676
passenger-carry, t = 20, b = 0, origin = 2, dest = 1, val = 121.88470886238241
passenger-carry, t = 20, b = 0, origin = 2, dest = 2, val = 14.98516355009206
passenger-carry, t = 21, b = 0, origin = 0, dest = 0, val = 20.181259714813137
passenger-carry, t = 21, b = 0, origin = 0, dest = 1, val = 162.95372282302043
passenger-carry, t = 21, b = 0, origin = 0, dest = 2, val = 21.36553222572679
passenger-carry, t = 21, b = 0, origin = 1, dest = 0, val = 15.372718437878067
passenger-carry, t = 21, b = 0, origin = 1, dest = 1, val = 116.29201102805806
passenger-carry, t = 21, b = 0, origin = 1, dest = 2, val = 15.285012877933596
passenger-carry, t = 21, b = 0, origin = 2, dest = 0, val = 15.773842134276865
passenger-carry, t = 21, b = 0, origin = 2, dest = 1, val = 122.64935785385721
passenger-carry, t = 21, b = 0, origin = 2, dest = 2, val = 14.926286532404639
passenger-carry, t = 22, b = 0, origin = 0, dest = 0, val = 21.118838653040374
passenger-carry, t = 22, b = 0, origin = 0, dest = 1, val = 161.60706668223546
passenger-carry, t = 22, b = 0, origin = 0, dest = 2, val = 20.170245279315388
passenger-carry, t = 22, b = 0, origin = 1, dest = 0, val = 15.462353709224075
passenger-carry, t = 22, b = 0, origin = 1, dest = 1, val = 114.66995657993857
passenger-carry, t = 22, b = 0, origin = 1, dest = 2, val = 14.934605071238366
passenger-carry, t = 22, b = 0, origin = 2, dest = 0, val = 15.395997324078984
passenger-carry, t = 22, b = 0, origin = 2, dest = 1, val = 126.35842330820361
passenger-carry, t = 22, b = 0, origin = 2, dest = 2, val = 14.920163984754122
passenger-carry, t = 23, b = 0, origin = 0, dest = 0, val = 19.915607337124392
passenger-carry, t = 23, b = 0, origin = 0, dest = 1, val = 147.42832948830144
passenger-carry, t = 23, b = 0, origin = 0, dest = 2, val = 18.451700184497717
passenger-carry, t = 23, b = 0, origin = 1, dest = 0, val = 15.307757765489125
passenger-carry, t = 23, b = 0, origin = 1, dest = 1, val = 123.25055725831213
passenger-carry, t = 23, b = 0, origin = 1, dest = 2, val = 14.929814235946264
passenger-carry, t = 23, b = 0, origin = 2, dest = 0, val = 20.220573014767215
passenger-carry, t = 23, b = 0, origin = 2, dest = 1, val = 147.14936693306905
passenger-carry, t = 23, b = 0, origin = 2, dest = 2, val = 15.785912318482854
passenger-carry, t = 24, b = 0, origin = 0, dest = 0, val = 31.197521731870815
passenger-carry, t = 24, b = 0, origin = 0, dest = 1, val = 61.55597800672364
passenger-carry, t = 24, b = 0, origin = 0, dest = 2, val = 12.975992788619235
passenger-carry, t = 24, b = 0, origin = 1, dest = 0, val = 46.16227809550089
passenger-carry, t = 24, b = 0, origin = 1, dest = 1, val = 54.84842280346994
passenger-carry, t = 24, b = 0, origin = 1, dest = 2, val = 10.062722220567014
passenger-carry, t = 24, b = 0, origin = 2, dest = 0, val = 379.0933693379341
passenger-carry, t = 24, b = 0, origin = 2, dest = 1, val = 47.59267404920808
passenger-carry, t = 24, b = 0, origin = 2, dest = 2, val = 34.20782727136585
passenger-carry, t = 25, b = 0, origin = 0, dest = 0, val = 57.53058230472921
passenger-carry, t = 25, b = 0, origin = 0, dest = 1, val = 4.2950719266629145
passenger-carry, t = 25, b = 0, origin = 0, dest = 2, val = 4.975194127475115
passenger-carry, t = 25, b = 0, origin = 1, dest = 0, val = 23.960864209795545
passenger-carry, t = 25, b = 0, origin = 1, dest = 1, val = 7.449123487160419
passenger-carry, t = 25, b = 0, origin = 1, dest = 2, val = 4.986493871890135
passenger-carry, t = 25, b = 0, origin = 2, dest = 0, val = 286.6836787742438
passenger-carry, t = 25, b = 0, origin = 2, dest = 1, val = 46.53158178400479
passenger-carry, t = 25, b = 0, origin = 2, dest = 2, val = 48.2559457294595
passenger-carry, t = 26, b = 0, origin = 0, dest = 1, val = 0.5628371098492262
passenger-carry, t = 26, b = 0, origin = 0, dest = 2, val = 5.124995780546218
passenger-carry, t = 26, b = 0, origin = 1, dest = 0, val = 11.167950188237526
passenger-carry, t = 26, b = 0, origin = 1, dest = 2, val = 7.16664105167239
passenger-carry, t = 26, b = 0, origin = 2, dest = 0, val = 277.8991443355081
passenger-carry, t = 26, b = 0, origin = 2, dest = 1, val = 29.796935239477214
passenger-carry, t = 26, b = 0, origin = 2, dest = 2, val = 51.678221316192335
passenger-carry, t = 27, b = 0, origin = 0, dest = 0, val = 51.47491953884739
passenger-carry, t = 27, b = 0, origin = 0, dest = 1, val = 7.509489172600242
passenger-carry, t = 27, b = 0, origin = 0, dest = 2, val = 4.995932723390356
passenger-carry, t = 27, b = 0, origin = 1, dest = 0, val = 41.32831480697099
passenger-carry, t = 27, b = 0, origin = 1, dest = 1, val = 6.758295018873353
passenger-carry, t = 27, b = 0, origin = 1, dest = 2, val = 0.875911784222078
passenger-carry, t = 27, b = 0, origin = 2, dest = 0, val = 344.228138764184
passenger-carry, t = 27, b = 0, origin = 2, dest = 1, val = 29.62571187572521
passenger-carry, t = 27, b = 0, origin = 2, dest = 2, val = 51.25919977689813
passenger-carry, t = 28, b = 0, origin = 0, dest = 0, val = 47.108181276949544
passenger-carry, t = 28, b = 0, origin = 0, dest = 1, val = 5.177930765812453
passenger-carry, t = 28, b = 0, origin = 0, dest = 2, val = 4.8917648429276746
passenger-carry, t = 28, b = 0, origin = 1, dest = 0, val = 40.50276993426182
passenger-carry, t = 28, b = 0, origin = 1, dest = 1, val = 3.9562207481670457
passenger-carry, t = 28, b = 0, origin = 1, dest = 2, val = 5.15209805075912
passenger-carry, t = 28, b = 0, origin = 2, dest = 0, val = 347.8848386079325
passenger-carry, t = 28, b = 0, origin = 2, dest = 1, val = 27.666540321160277
passenger-carry, t = 28, b = 0, origin = 2, dest = 2, val = 71.4735758971139
passenger-carry, t = 29, b = 0, origin = 0, dest = 0, val = 43.073217483430206
passenger-carry, t = 29, b = 0, origin = 0, dest = 1, val = 4.937245895925968
passenger-carry, t = 29, b = 0, origin = 0, dest = 2, val = 5.042341412025532
passenger-carry, t = 29, b = 0, origin = 1, dest = 0, val = 50.8745018374677
passenger-carry, t = 29, b = 0, origin = 1, dest = 1, val = 6.679263618914648
passenger-carry, t = 29, b = 0, origin = 1, dest = 2, val = 6.508252179412649
passenger-carry, t = 29, b = 0, origin = 2, dest = 0, val = 527.7962185939635
passenger-carry, t = 29, b = 0, origin = 2, dest = 1, val = 15.214444882059365
passenger-carry, t = 30, b = 0, origin = 0, dest = 0, val = 40.69109813613966
passenger-carry, t = 30, b = 0, origin = 0, dest = 1, val = 7.3753341656521325
passenger-carry, t = 30, b = 0, origin = 0, dest = 2, val = 5.10643521676023
passenger-carry, t = 30, b = 0, origin = 1, dest = 0, val = 67.29441342128143
passenger-carry, t = 30, b = 0, origin = 1, dest = 1, val = 5.060916285255275
passenger-carry, t = 30, b = 0, origin = 1, dest = 2, val = 5.319123383222872
passenger-carry, t = 30, b = 0, origin = 2, dest = 0, val = 112.08890215457382
passenger-carry, t = 30, b = 0, origin = 2, dest = 1, val = 70.69296939995235
passenger-carry, t = 30, b = 0, origin = 2, dest = 2, val = 62.66991648589604
passenger-carry, t = 31, b = 0, origin = 0, dest = 0, val = 57.65258356462135
passenger-carry, t = 31, b = 0, origin = 0, dest = 1, val = 2.7204536744523695
passenger-carry, t = 31, b = 0, origin = 0, dest = 2, val = 5.446751289701213
passenger-carry, t = 31, b = 0, origin = 1, dest = 0, val = 22.707596898622878
passenger-carry, t = 31, b = 0, origin = 1, dest = 1, val = 7.545304328775916
passenger-carry, t = 31, b = 0, origin = 1, dest = 2, val = 5.584398082828466
passenger-carry, t = 31, b = 0, origin = 2, dest = 0, val = 121.77440447799317
passenger-carry, t = 31, b = 0, origin = 2, dest = 1, val = 47.18994522236182
passenger-carry, t = 31, b = 0, origin = 2, dest = 2, val = 60.54805466160291
passenger-carry, t = 32, b = 0, origin = 0, dest = 1, val = 1.8881959874060021
passenger-carry, t = 32, b = 0, origin = 0, dest = 2, val = 6.094999745032188
passenger-carry, t = 32, b = 0, origin = 1, dest = 0, val = 10.998767905854464
passenger-carry, t = 32, b = 0, origin = 1, dest = 2, val = 6.4744194722803625
