T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
23	3	1	21.658516949152542	Travel	1		
23	2	3	36.612	Travel	1		
23	1	0	83.81635294117648	Travel	1		
23	0	3	79.8623076923077	Travel	1		
23	2	2	11.166883116883117	Travel	1		
23	1	2	25.898235294117647	Travel	1		
23	2	0	74.28197530864198	Travel	1		
23	0	1	79.11692307692307	Travel	1		
24	2	0	81.49954022988506	Travel	1		
24	2	3	35.24363636363636	Travel	1		
24	0	1	75.92798353909465	Travel	1		
24	1	1	16.086904176904177	Travel	1		
24	2	2	14.216219512195122	Travel	1		
24	1	3	21.509144736842103	Travel	1		
24	0	2	65.49549019607844	Travel	1		
24	2	1	25.701700000000002	Travel	1		
24	1	2	25.58108108108108	Travel	1		
24	3	1	20.589043062200954	Travel	1		
24	3	0	83.66065217391304	Travel	1		
24	3	3	11.813183673469387	Travel	1		
24	3	2	34.597368421052636	Travel	1		
24	1	0	85.88398891966759	Travel	1		
24	0	3	80.51926829268292	Travel	1		
24	0	0	15.970869565217392	Travel	1		
25	3	0	83.66065217391304	Travel	1		
25	2	2	14.216219512195122	Travel	1		
25	3	2	34.597368421052636	Travel	1		
25	0	1	75.92798353909465	Travel	1		
25	0	2	65.49549019607844	Travel	1		
25	2	3	35.24363636363636	Travel	1		
25	2	1	25.701700000000002	Travel	1		
25	3	3	11.813183673469387	Travel	1		
25	2	0	81.49954022988506	Travel	1		
25	0	3	80.51926829268292	Travel	1		
25	1	3	21.509144736842103	Travel	1		
25	1	0	85.88398891966759	Travel	1		
25	1	2	25.58108108108108	Travel	1		
25	1	1	16.086904176904177	Travel	1		
25	3	1	20.589043062200954	Travel	1		
25	0	0	15.970869565217392	Travel	1		
26	3	3	11.813183673469387	Travel	1		
26	2	3	35.24363636363636	Travel	1		
26	0	0	15.970869565217392	Travel	1		
26	0	3	80.51926829268292	Travel	1		
26	2	2	14.216219512195122	Travel	1		
26	1	2	25.58108108108108	Travel	1		
26	1	3	21.509144736842103	Travel	1		
26	2	1	25.701700000000002	Travel	1		
26	1	0	85.88398891966759	Travel	1		
26	1	1	16.086904176904177	Travel	1		
26	2	0	81.49954022988506	Travel	1		
26	3	0	83.66065217391304	Travel	1		
26	3	1	20.589043062200954	Travel	1		
26	0	2	65.49549019607844	Travel	1		
26	0	1	75.92798353909465	Travel	1		
26	3	2	34.597368421052636	Travel	1		
27	2	3	35.24363636363636	Travel	1		
27	3	2	34.597368421052636	Travel	1		
27	2	2	14.216219512195122	Travel	1		
27	1	0	85.88398891966759	Travel	1		
27	0	0	15.970869565217392	Travel	1		
27	0	3	80.51926829268292	Travel	1		
27	2	1	25.701700000000002	Travel	1		
27	3	1	20.589043062200954	Travel	1		
27	0	1	75.92798353909465	Travel	1		
27	3	3	11.813183673469387	Travel	1		
27	1	2	25.58108108108108	Travel	1		
27	0	2	65.49549019607844	Travel	1		
27	3	0	83.66065217391304	Travel	1		
27	2	0	81.49954022988506	Travel	1		
27	1	3	21.509144736842103	Travel	1		
27	1	1	16.086904176904177	Travel	1		
28	1	2	25.11481132075472	Travel	1		
28	1	0	83.89420168067227	Travel	1		
28	1	1	14.70596618357488	Travel	1		
28	1	3	21.474578313253012	Travel	1		
28	0	3	71.42655737704919	Travel	1		
28	3	3	13.853444816053512	Travel	1		
28	0	2	65.1825352112676	Travel	1		
28	3	0	89.68221153846154	Travel	1		
28	3	1	20.049411764705884	Travel	1		
28	2	3	37.02882352941177	Travel	1		
28	0	0	19.450686274509803	Travel	1		
28	2	2	10.96861111111111	Travel	1		
28	2	1	25.20108108108108	Travel	1		
28	2	0	75.81323529411765	Travel	1		
28	0	1	73.03306273062731	Travel	1		
28	3	2	32.90615384615384	Travel	1		
29	2	1	25.20108108108108	Travel	1		
29	1	0	83.89420168067227	Travel	1		
29	2	3	37.02882352941177	Travel	1		
29	3	3	13.853444816053512	Travel	1		
29	1	3	21.474578313253012	Travel	1		
29	3	1	20.049411764705884	Travel	1		
29	2	2	10.96861111111111	Travel	1		
29	0	3	71.42655737704919	Travel	1		
29	3	2	32.90615384615384	Travel	1		
29	0	1	73.03306273062731	Travel	1		
29	1	1	14.70596618357488	Travel	1		
29	2	0	75.81323529411765	Travel	1		
29	0	2	65.1825352112676	Travel	1		
29	3	0	89.68221153846154	Travel	1		
29	0	0	19.450686274509803	Travel	1		
29	1	2	25.11481132075472	Travel	1		
30	3	1	20.049411764705884	Travel	1		
