t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
30,5.4,0.24047619047619045,0.4666666666666667,0.4166666666666667,0.024999999999999998,0.09166666666666666,2.1,4.2,2.8,0.14166666666666666,0.09166666666666666,0.1,0.13333333333333333,0.14166666666666666,0.15833333333333333,0.125,0.06666666666666667,0.03333333333333333,0.008333333333333333,1.7,0.6,0.5499999999999989,0.9,2.9,0.5499999999999989,1.8,1.0,0.0,1.0,1.0,0.5499999999999989,4.5
31,4.7,0.23795177045177046,0.4083333333333333,0.3416666666666667,0.24166666666666664,0.008333333333333333,1.9,3.6,3.4,0.14166666666666666,0.10833333333333332,0.1,0.10833333333333332,0.18333333333333332,0.13333333333333333,0.11666666666666665,0.075,0.025,0.008333333333333333,0.9,1.3,2.0,0.9,1.3,2.549999999999999,1.9,0.5,1.549999999999999,1.0,1.2,2.0,4.5
32,5.7,0.46992063492063496,0.5166666666666667,0.4083333333333333,0.06666666666666667,0.008333333333333333,4.2,3.5,1.6,0.08333333333333334,0.09166666666666666,0.1,0.16666666666666666,0.175,0.09999999999999999,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.016666666666666666,1.3,2.0,1.0,0.6,1.3,1.0,2.3,0.5,0.0,1.5,1.5,0.5499999999999989,4.5
33,6.4,0.2086904761904762,0.4416666666666667,0.4,0.06666666666666667,0.09166666666666666,2.0,5.0,2.9,0.08333333333333333,0.10833333333333332,0.1,0.15,0.15833333333333333,0.11666666666666665,0.13333333333333333,0.1,0.041666666666666664,0.008333333333333333,1.5,2.4,1.0,1.2,1.7,1.0,2.2,0.2,0.5499999999999989,1.5,0.2,0.0,4.5
34,6.1,0.36439810189810184,0.625,0.25,0.125,0.0,4.0,4.4,2.7,0.08333333333333333,0.11666666666666665,0.13333333333333333,0.14166666666666666,0.13333333333333333,0.13333333333333333,0.10833333333333332,0.09166666666666666,0.041666666666666664,0.016666666666666666,1.2,1.5,2.099999999999998,1.2,1.1,2.0,2.2,0.5,0.5499999999999989,1.5,0.7,0.5499999999999989,4.5
35,6.8,0.33340027619439383,0.5833333333333334,0.39166666666666666,0.0,0.025,3.3,4.6,3.3,0.06666666666666667,0.09166666666666666,0.16666666666666666,0.11666666666666665,0.175,0.11666666666666665,0.125,0.09166666666666666,0.041666666666666664,0.008333333333333333,1.5,2.0,0.0,1.4,1.1,0.0,3.2,0.1,0.0,0.7,0.3,0.0,4.5
36,5.1,0.3255952380952381,0.5416666666666667,0.4,0.03333333333333333,0.025,2.6,3.6,3.5,0.08333333333333333,0.09166666666666666,0.15833333333333333,0.15,0.16666666666666666,0.11666666666666665,0.10833333333333332,0.10833333333333332,0.016666666666666666,0.0,1.1,0.9,1.0,1.2,1.7,0.0,1.5,1.3,1.0,1.3,0.3,0.0,4.5
37,5.1,0.42108111187058556,0.575,0.35,0.05833333333333333,0.016666666666666666,3.6,3.4,1.7,0.10833333333333332,0.11666666666666665,0.14166666666666666,0.13333333333333333,0.18333333333333332,0.08333333333333333,0.15833333333333333,0.05833333333333333,0.008333333333333333,0.008333333333333333,0.8,0.9,0.0,0.8,3.0,1.549999999999999,2.2,0.6,0.0,1.3,0.9,0.5499999999999989,4.5
38,5.4,0.4777525252525252,0.575,0.3416666666666667,0.041666666666666664,0.041666666666666664,3.9,3.2,1.7,0.14166666666666666,0.16666666666666666,0.10833333333333332,0.175,0.10833333333333332,0.075,0.15833333333333333,0.049999999999999996,0.016666666666666666,0.0,1.1,0.7,0.0,1.2,2.3,1.549999999999999,1.7,0.3,0.5499999999999989,1.4,1.6,0.5499999999999989,4.5
39,5.0,0.45914835164835166,0.5333333333333334,0.35,0.11666666666666665,0.0,3.2,3.0,2.0,0.175,0.15,0.1,0.175,0.11666666666666665,0.10833333333333332,0.1,0.05833333333333333,0.008333333333333333,0.008333333333333333,1.1,0.8,1.549999999999999,1.1,1.4,1.549999999999999,2.2,0.6,1.0,0.6,0.1,0.0,4.5
